,county,mean_price,p7525_ratio
1,1001,"1,405",1.82
2,1003,"2,072",2.61
3,1005,"1,861",5.09
4,1007,"1,342",3.19
5,1009,"1,013",2.16
6,1011,"2,084",4.52
7,1013,"1,410",1.82
8,1015,"1,882",1.95
9,1017,"1,602",2.49
10,1019,"1,612",3.89
11,1021,"1,419",2.90
12,1023,"1,009",3.09
13,1025,"1,347",1.76
14,1029,"1,489",2.94
15,1031,"1,356",2.42
16,1033,"2,118",1.84
17,1035,"1,119",1.35
18,1037,"1,143",2.45
19,1039,"1,945",5.82
20,1041,"1,785",2.49
21,1043,"1,099",2.31
22,1045,"1,786",4.15
23,1047,"1,268",1.58
24,1049,"1,416",2.25
25,1051,"1,293",1.89
26,1053,"1,352",2.35
27,1055,"1,953",2.03
28,1057,"1,283",2.07
29,1059,"1,897",2.06
30,1061,"1,332",2.51
31,1063,861,3.28
32,1065,"1,067",4.22
33,1067,"1,348",2.72
34,1069,"1,251",2.52
35,1071,"1,587",2.90
36,1073,"1,100",2.93
37,1075,"2,358",2.97
38,1077,"1,639",2.52
39,1079,"2,036",3.25
40,1081,"1,430",1.56
41,1083,"1,518",2.62
42,1085,"1,405",2.11
43,1087,"1,349",1.53
44,1089,"1,263",2.17
45,1091,"1,089",3.32
46,1093,"1,371",2.22
47,1095,"1,364",2.65
48,1097,"1,245",1.44
49,1099,"1,476",1.60
50,1101,"1,352",1.82
51,1103,"1,742",3.01
52,1107,"1,450",3.99
53,1109,"1,868",3.19
54,1111,"1,698",3.15
55,1113,"1,456",2.86
56,1115,"1,177",2.11
57,1117,"1,104",2.94
58,1119,879,3.01
59,1121,"1,554",3.11
60,1123,"1,526",1.67
61,1125,935,3.26
62,1127,"1,341",2.96
63,1129,"1,304",1.96
64,1131,"1,005",1.63
65,1133,"1,448",3.16
66,2020,"2,215",1.30
67,2050,"1,339",4.13
68,2090,"2,296",1.80
69,2110,"2,895",2.07
70,2122,"2,311",1.50
71,2130,"1,946",1.79
72,2150,"3,314",1.69
73,2170,"3,147",1.87
74,2180,"1,979",2.63
75,2188,"2,799",2.85
76,2195,"2,423",1.38
77,2198,"2,047",1.92
78,2220,"2,583",1.28
79,2240,"2,666",1.77
80,2261,"2,902",2.10
81,4001,"2,155",2.18
82,4003,"1,765",2.99
83,4005,"1,311",1.75
84,4007,"2,804",4.79
85,4009,"1,817",1.52
86,4011,"1,820",1.67
87,4012,"2,665",3.35
88,4013,945,1.94
89,4015,"3,567",2.22
90,4017,"1,958",3.60
91,4019,932,2.57
92,4021,"1,079",2.72
93,4023,"1,793",3.67
94,4025,"2,094",4.10
95,4027,"1,128",1.98
96,5001,689,1.72
97,5003,"1,036",1.88
98,5005,"1,369",1.08
99,5007,"1,143",1.61
100,5009,"1,712",2.86
101,5013,"1,814",4.29
102,5015,"1,020",2.31
103,5017,"1,172",3.69
104,5019,907,2.03
105,5021,"1,196",1.93
106,5023,971,1.71
107,5025,"1,267",3.12
108,5027,"2,405",5.38
109,5029,976,1.69
110,5031,854,1.37
111,5033,"1,012",1.75
112,5035,818,1.64
113,5037,"1,160",1.98
114,5039,866,1.68
115,5041,"1,227",1.50
116,5043,"1,065",1.86
117,5045,726,1.60
118,5049,"1,298",1.83
119,5051,"1,151",2.11
120,5053,"1,197",3.43
121,5055,"1,146",2.04
122,5057,"1,111",2.87
123,5059,"1,029",2.07
124,5061,"1,484",3.38
125,5063,"1,136",1.83
126,5069,782,1.71
127,5071,"1,237",1.67
128,5073,"1,560",3.72
129,5075,849,1.54
130,5077,"2,002",4.62
131,5079,"1,125",1.87
132,5081,"1,660",5.65
133,5083,"1,043",2.13
134,5085,628,1.50
135,5087,"1,095",1.61
136,5089,"1,501",1.27
137,5091,"1,596",5.06
138,5093,997,1.58
139,5095,"1,104",1.81
140,5097,"1,224",3.11
141,5099,"1,129",3.72
142,5101,"1,426",3.20
143,5103,"1,400",2.79
144,5105,722,1.53
145,5107,"1,125",2.00
146,5109,"1,702",2.86
147,5111,835,1.65
148,5115,"1,219",1.89
149,5117,720,1.84
150,5119,590,1.40
151,5121,936,3.41
152,5123,"1,982",5.77
153,5125,788,1.75
154,5127,"1,378",2.52
155,5131,853,1.60
156,5133,"1,112",3.29
157,5135,967,1.81
158,5137,"1,100",2.34
159,5139,"1,795",4.50
160,5141,795,1.13
161,5143,"1,053",2.39
162,5145,"1,101",2.10
163,5149,"1,027",2.16
164,6001,"1,737",2.46
165,6005,"2,713",1.65
166,6007,"4,211",1.64
167,6009,"2,331",2.09
168,6011,"3,661",1.68
169,6013,"1,429",2.40
170,6015,"3,310",4.52
171,6017,"3,246",1.88
172,6019,"1,375",2.65
173,6023,"4,292",1.66
174,6025,"1,068",1.32
175,6027,"2,469",5.19
176,6029,900,1.57
177,6031,"1,582",2.78
178,6033,"3,027",5.98
179,6035,"1,870",4.07
180,6037,"2,244",5.15
181,6039,"1,207",2.00
182,6041,"1,501",2.39
183,6043,972,1.62
